Rank,Player ID,Player Name,Team,Opp,Position,Yds Allowed,Pts Agn,Scks,Int,Fum,DefTD,Safts,Pts
1,524,"Vikings, Minnesota",MIN,IND,D,286.2,17.3,3.5,1.6,0.7,0.4,0.0,11.2
2,514,"Chargers, Los Angeles",LAC,@CLE,D,248.5,13.6,2.8,0.9,0.5,0.0,0.0,9.4
3,501,"Bills, Buffalo",BUF,MIA,D,251.5,14.5,2.8,1.2,0.7,0.2,0.0,8.8
4,521,"Bears, Chicago",CHI,@ARI,D,364.7,19.1,2.3,1.1,0.6,0.2,0.0,7.8
5,529,"Saints, New Orleans",NOS,@CAR,D,301.6,17.7,2.6,1.2,0.6,0.0,0.1,7.4
6,515,"Seahawks, Seattle",SEA,LAR,D,333.0,23.0,3.0,0.8,0.4,0.3,0.1,6.9
7,507,"Browns, Cleveland",CLE,LAC,D,268.8,20.4,3.1,0.5,0.4,0.2,0.1,6.7
8,505,"Jets, New York",NYJ,HOU,D,263.5,20.9,2.9,0.5,0.6,0.1,0.0,6.7
9,526,"Falcons, Atlanta",ATL,DAL,D,288.8,19.9,1.3,0.8,0.4,0.3,0.0,6.6
10,522,"Lions, Detroit",DET,@GBP,D,386.3,22.2,2.6,1.1,0.5,0.1,0.0,6.6
11,532,"Texans, Houston",HOU,@NYJ,D,274.8,21.4,3.4,0.9,0.3,0.1,0.0,6.4
12,511,"Broncos, Denver",DEN,@BAL,D,385.4,19.6,2.5,0.6,0.5,0.2,0.1,6.4
13,520,"Commanders, Washington",WAS,@NYG,D,295.2,20.0,2.6,0.4,0.6,0.1,0.0,6.3
14,519,"Cardinals, Arizona",ARI,CHI,D,285.1,18.8,2.1,0.7,0.7,0.1,0.2,6.3
15,506,"Bengals, Cincinnati",CIN,LVR,D,289.8,20.5,2.1,0.8,0.3,0.1,0.1,6.3
16,512,"Chiefs, Kansas City",KCC,TBB,D,283.7,17.3,2.5,0.7,0.4,0.1,0.0,6.2
17,518,"Eagles, Philadelphia",PHI,JAC,D,308.0,17.0,2.6,0.7,0.4,0.1,0.0,6.1
18,528,"Rams, Los Angeles",LAR,@SEA,D,318.5,21.8,2.3,0.8,0.3,0.2,0.2,5.9
19,502,"Colts, Indianapolis",IND,@MIN,D,370.5,21.4,2.6,0.5,1.0,0.1,0.1,5.9
20,531,"Ravens, Baltimore",BAL,DEN,D,346.1,22.8,2.9,0.8,0.6,0.0,0.0,5.8
21,523,"Packers, Green Bay",GBP,DET,D,387.0,26.1,2.4,0.9,0.5,0.1,0.0,5.8
22,504,"Patriots, New England",NEP,@TEN,D,223.6,14.0,2.5,0.4,0.3,0.1,0.0,5.3
23,516,"Cowboys, Dallas",DAL,@ATL,D,336.2,22.4,2.0,0.7,0.3,0.2,0.0,5.1
24,525,"Buccaneers, Tampa Bay",TBB,@KCC,D,368.1,23.8,2.5,0.5,0.5,0.0,0.1,4.5
25,509,"Jaguars, Jacksonville",JAC,@PHI,D,326.0,22.4,2.5,0.3,0.2,0.1,0.0,4.5
26,517,"Giants, New York",NYG,WAS,D,440.2,28.4,2.7,0.4,0.5,0.1,0.0,4.3
27,508,"Titans, Tennessee",TEN,NEP,D,220.3,21.2,3.0,0.2,0.3,0.0,0.1,4.2
28,513,"Raiders, Las Vegas",LVR,@CIN,D,352.1,25.1,1.9,0.6,0.2,0.1,0.0,3.9
29,503,"Dolphins, Miami",MIA,@BUF,D,385.0,27.0,1.4,0.5,0.4,0.1,0.0,3.6
30,527,"Panthers, Carolina",CAR,NOS,D,297.4,25.3,1.4,0.5,0.4,0.0,0.0,3.3

